id,query
1,Suggest a quick vegan breakfast recipe
2,I have beets and rice. what can I cook?
3,Give me a dessert recipe with chocolate 
4,Give me an asian-themed salad
5,Easy and quick dinner for two
6,"Healthy, simple lunch with veggies"
7,Thai dinner without using coconut
8,Indian recipe without using ghee
9,What can I do with celeriac?
10,How can I use horseradish in an interesting dish?
11,Recipe to make in 45 minutes?
12,Beginner friendly dish to impress
13,Dessert with low sugar
14,Impreesive dinner that's IBD friendly?
15,Lunch for those suffering from diverticulitis
